site_id,healthevent_date_original,Sea lice count date,year,month,month_numerical,year class,species,company,site,zone,fish health event,occurance,Time of occurance(in months),Average time (months),yellow mouth,yellowmouth_control,srs,srscontrol,overall,overall_control
1079,1/1/2016,1/1/2016,2016,January,1,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Steamer,Esperanza Inlet,Mouth rot,New,0,0,1,0,0,1,1,0
1825,4/20/2016,4/1/2016,2016,April,4,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Noo-la,Broughton Archipelago,Mouth rot,New,0,0,1,0,0,1,1,0
1145,4/28/2016,4/1/2016,2016,April,4,Brood,Atlantic Salmon (Salmo salar),MOWI Canada West,Potts Bay,Broughton Archipelago,Mouth rot,New,0,0,1,0,0,1,1,0
746,7/22/2016,7/1/2016,2016,July,7,2,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Site 13,Sunshine Coast,Salmonid Rickettsial Septicemia,New,0,0,0,1,1,0,1,0
332,7/23/2016,7/1/2016,2016,July,7,2,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Salten,Sunshine Coast,Salmonid Rickettsial Septicemia,New,0,0,0,1,1,0,1,0
314,9/26/2016,9/1/2016,2016,September,9,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Ross Pass,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1738,9/28/2016,9/1/2016,2016,September,9,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Atrevida,Nootka Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1849,10/17/2016,10/1/2016,2016,October,10,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Muchalat North,Nootka Sound,Mouth rot,New,0,0,1,0,0,1,1,0
543,11/9/2016,11/1/2016,2016,November,11,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Mussel Rock,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1336,2/20/2017,2/1/2017,2017,February,2,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Simmonds Point,Broughton Archipelago,Mouth rot,New,0,0,1,0,0,1,1,0
227,3/24/2017,3/1/2017,2017,March,3,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Bawden,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1862,10/23/2017,10/1/2017,2017,October,10,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Hecate,Esperanza Inlet,Mouth rot,New,0,0,1,0,0,1,1,0
520,10/30/2017,10/1/2017,2017,October,10,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Bedwell,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
304,11/4/2017,11/1/2017,2017,November,11,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Raza Island,Discovery Islands,Mouth rot,New,0,0,1,0,0,1,1,0
1079,11/10/2017,11/1/2017,2017,November,11,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Steamer,Esperanza Inlet,Mouth rot,New,0,0,1,0,0,1,1,0
6668,11/30/2017,11/1/2017,2017,November,11,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Plover Point,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1144,3/11/2018,3/1/2018,2018,March,3,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Burdwood,Broughton Archipelago,Mouth rot,New,0,0,1,0,0,1,1,0
540,3/23/2018,3/1/2018,2018,March,3,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Fortune Channel,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
869,4/16/2018,4/1/2018,2018,April,4,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Maude Island,Broughton Archipelago,Mouth rot,New,0,0,1,0,0,1,1,0
234,8/14/2018,8/1/2018,2018,August,8,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Dixon Bay,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1507,10/5/2018,10/1/2018,2018,October,10,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Millar Channel,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
314,10/24/2018,10/1/2018,2018,October,10,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Ross Pass,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1705,10/29/2018,10/1/2018,2018,October,10,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Williamson,Nootka Sound,Mouth rot,New,0,0,1,0,0,1,1,0
543,3/3/2019,3/1/2019,2019,March,3,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Mussel Rock,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
527,3/28/2019,3/1/2019,2019,March,3,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Saranac Island,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
819,3/29/2019,3/1/2019,2019,March,3,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Cecil Island,Broughton Archipelago,Mouth rot,New,0,0,1,0,0,1,1,0
1863,10/14/2019,10/1/2019,2019,October,10,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Esperanza,Esperanza Inlet,Mouth rot,New,0,0,1,0,0,1,1,0
540,11/19/2019,11/1/2019,2019,November,11,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Fortune Channel,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1079,12/13/2019,12/1/2019,2019,December,12,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Steamer,Esperanza Inlet,Mouth rot,New,0,0,1,0,0,1,1,0
314,9/20/2020,9/1/2020,2020,September,9,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Ross Pass,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1237,10/18/2020,10/1/2020,2020,October,10,1,Atlantic Salmon (Salmo salar),MOWI Canada West,Monday Rocks,Quatsino Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1338,10/23/2020,10/1/2020,2020,October,10,1,Atlantic Salmon (Salmo salar),MOWI Canada West,Mahatta East,Quatsino Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1691,10/28/2020,10/1/2020,2020,October,10,1,Atlantic Salmon (Salmo salar),MOWI Canada West,Kid Bay,Central Coast,Mouth rot,New,0,0,1,0,0,1,1,0
1238,11/25/2020,11/1/2020,2020,November,11,1,Atlantic Salmon (Salmo salar),MOWI Canada West,Mahatta West,Quatsino Sound,Mouth rot,New,0,0,1,0,0,1,1,0
543,4/6/2021,4/1/2021,2021,April,4,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Mussel Rock,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1697,6/24/2021,6/1/2021,2021,June,6,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Culloden,Sunshine Coast,Enteric Redmouth Disease,New,0,0,0,1,0,1,1,0
540,10/8/2021,10/1/2021,2021,October,10,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Fortune Channel,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1863,10/18/2021,10/1/2021,2021,October,10,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Esperanza,Esperanza Inlet,Mouth rot,New,0,0,1,0,0,1,1,0
1537,11/27/2021,11/1/2021,2021,November,11,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Bare Bluff,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1079,12/28/2021,12/1/2021,2021,December,12,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Steamer,Esperanza Inlet,Mouth rot,New,0,0,1,0,0,1,1,0
1849,10/22/2022,10/1/2022,2022,October,10,1,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Muchalat North,Nootka Sound,Mouth rot,New,0,0,1,0,0,1,1,0
234,11/29/2022,11/1/2022,2022,November,11,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Dixon Bay,Clayoquot Sound,Mouth rot,New,0,0,1,0,0,1,1,0
1238,12/25/2022,12/1/2022,2022,December,12,1,Atlantic Salmon (Salmo salar),MOWI Canada West,Mahatta West,Quatsino Sound,Mouth rot,New,0,0,1,0,0,1,1,0
467,7/9/2021,7/1/2021,2021,July,7,1,Atlantic Salmon (Salmo salar),MOWI Canada West,Midsummer,Broughton Archipelago,Mouth rot,New,1,1,1,0,0,1,1,0
527,5/6/2021,5/1/2021,2021,May,5,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Saranac Island,Clayoquot Sound,Sea Lice Infestation,New,1.5,1.5,0,1,0,1,1,0
1472,1/1/2016,1/1/2016,2016,January,1,1,Atlantic Salmon (Salmo salar),Cermaq Canada,West Side,Clayoquot Sound,Mouth rot,New,2,2,1,0,0,1,1,0
1136,5/14/2018,5/1/2018,2018,May,5,Brood,Atlantic Salmon (Salmo salar),MOWI Canada West,Shaw Point,Discovery Islands,Mouth rot,New,2,2,1,0,0,1,1,0
869,6/23/2020,6/1/2020,2020,June,6,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Maude Island,Broughton Archipelago,Mouth rot,New,3,3,1,0,0,1,1,0
1300,4/19/2021,4/1/2021,2021,April,4,1,Atlantic Salmon (Salmo salar),MOWI Canada West,Althorpe,Discovery Islands,Atypical aeromonas salmonicida,New,4,4,0,1,0,1,1,0
227,9/12/2019,9/1/2019,2019,September,9,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Bawden,Clayoquot Sound,Salmonid Rickettsial Septicemia,New,5,5,0,1,1,0,1,0
7053,11/10/2019,11/1/2019,2019,November,11,1,Atlantic Salmon (Salmo salar),MOWI Canada West,Ghi ya,Port Hardy,Mouth rot,New,5,5,1,0,0,1,1,0
314,3/13/2021,3/1/2021,2021,March,3,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Ross Pass,Clayoquot Sound,Sea Lice Infestation,New,6,6,0,1,0,1,1,0
1472,9/13/2016,9/1/2016,2016,September,9,1,Atlantic Salmon (Salmo salar),Cermaq Canada,West Side,Clayoquot Sound,Salmonid Rickettsial Septicemia,New,10,10,0,1,1,0,1,0
314,7/31/2021,7/1/2021,2021,July,7,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Ross Pass,Clayoquot Sound,Salmonid Rickettsial Septicemia,New,10,10,0,1,1,0,1,0
1705,5/25/2016,5/1/2016,2016,May,5,2,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Williamson,Nootka Sound,Furunculosis,New,10.5,10.5,0,1,0,1,1,0
1537,9/25/2018,9/1/2018,2018,September,9,2,Atlantic Salmon (Salmo salar),Cermaq Canada,Bare Bluff,Clayoquot Sound,Salmonid Rickettsial Septicemia,New,12,12,0,1,1,0,1,0
1507,11/10/2019,11/1/2019,2019,November,11,2,Atlantic Salmon (Salmo salar),Cermaq Canada,Millar Channel,Clayoquot Sound,Salmonid Rickettsial Septicemia,New,12,12,0,1,1,0,1,0
1697,9/13/2022,9/1/2022,2022,September,9,2,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Culloden,Sunshine Coast,Salmonid Rickettsial Septicemia,New,15,15,0,1,1,0,1,0
1698,7/4/2016,7/1/2016,2016,July,7,2,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Ahlstrom,Sunshine Coast,Salmonid Rickettsial Septicemia,New,16,16,0,1,1,0,1,0
1136,1/1/2020,1/1/2020,2020,January,1,Brood,Atlantic Salmon (Salmo salar),MOWI Canada West,Shaw Point,Discovery Islands,Mouth rot,New,21,21,1,0,0,1,1,0
332,7/19/2018,7/1/2018,2018,July,7,2,Atlantic Salmon (Salmo salar),Grieg Seafood BC,Salten,Sunshine Coast,Salmonid Rickettsial Septicemia,New, 7 to 8,7.5,0,1,1,0,1,0
6668,8/18/2018,8/1/2018,2018,August,8,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Plover Point,Clayoquot Sound,Sea Lice Infestation,New, 8 to 9,8.5,0,1,0,1,1,0
1336,4/29/2020,4/1/2020,2020,April,4,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Simmonds Point,Broughton Archipelago,Skin ulceration,New,0 or 12,0,0,1,0,1,1,0
892,2/24/2016,2/1/2016,2016,February,2,1,Atlantic Salmon (Salmo salar),MOWI Canada West,Bell Island,Port Hardy,Mouth rot,New,0 to 1,0.5,1,0,0,1,1,0
1586,4/13/2016,4/1/2016,2016,April,4,1,Atlantic Salmon (Salmo salar),MOWI Canada West,Doctor Islets,Broughton Archipelago,Mouth rot,New,0 to 1,0.5,1,0,0,1,1,0
869,5/6/2016,5/1/2016,2016,May,5,1,Atlantic Salmon (Salmo salar),Cermaq Canada,Maude Island,Broughton Archipelago,Mouth rot,New,0 to 1,,1,0,0,1,1,0
