Site_id,Latitude,Longitude
78,50.488251,-125.35658
100,50.410629,-125.70029
141,50.67099,-126.47653
143,50.601749,-126.63284
144,50.458611,-127.88988
211,50.30946,-125.31618
221,49.67226,-123.86019
227,49.30798,-126.00721
234,49.404781,-126.15072
303,50.010078,-123.90241
304,50.32159,-125.00882
306,50.30241,-125.33778
314,49.324371,-126.04849
332,49.615349,-123.83407
380,50.423618,-125.30517
412,49.646118,-123.72455
458,50.837719,-126.66313
465,50.61871,-126.70473
467,50.657841,-126.66298
520,49.26548,-125.81247
526,49.256699,-125.84153
527,49.248032,-125.90671
540,49.235031,-125.75174
543,49.259251,-125.86762
728,50.830959,-126.59684
739,50.721828,-126.5681
746,49.629101,-123.84265
790,50.417229,-125.66284
819,50.851231,-126.71498
820,50.786591,-126.69153
821,50.847851,-126.31921
831,50.88414,-127.5004
869,50.852711,-126.75743
871,50.324371,-125.26039
884,52.533989,-128.3602
892,50.83242,-127.52057
1059,50.673458,-126.18595
1078,49.886219,-126.76976
1079,49.886799,-126.7911
1136,50.485271,-125.88981
1144,50.796902,-126.49581
1145,50.6492,-126.6182
1148,49.34182,-125.95328
1198,50.892529,-127.25359
1237,50.485619,-127.87618
1238,50.469139,-127.83577
1288,50.81456,-127.48698
1291,49.305569,-125.81583
1293,50.8195,-127.55568
1300,50.475311,-125.80975
1335,50.864101,-126.92374
1336,50.877911,-126.90153
1338,50.47456,-127.78781
1350,50.965549,-127.45345
1351,50.90567,-127.34239
1382,50.931549,-127.42258
1401,50.286129,-125.34917
1472,49.279282,-125.83065
1507,49.376221,-126.09003
1537,49.327019,-125.79902
1580,52.53727,-128.40286
1581,50.413391,-125.76974
1586,50.653728,-126.28925
1618,50.696819,-126.25532
1691,52.80048,-128.40111
1697,49.795952,-124.10162
1698,49.779301,-124.15395
1700,49.640121,-126.32735
1702,52.787258,-128.41991
1705,49.656231,-126.42849
1738,49.656029,-126.45404
1762,49.646599,-126.43167
1789,49.659229,-126.47587
1825,50.60799,-126.36301
1839,50.601059,-126.34741
1849,49.64394,-126.33953
1862,49.867989,-126.7573
1863,49.878139,-126.76145
1895,52.796089,-128.31093
6668,49.21433,-125.76693
7053,50.90078,-127.93638
7054,50.893219,-127.89568
7273,50.61225,-126.33212
7713,52.719929,-128.57433
7714,52.676479,-128.57494
