Zone,Event,Year,Mean,CI lower band,CI upper band
Mainland Central,Harmful algal blooms (HABs),2011,,,
Mainland Central,Harmful algal blooms (HABs),2016,,,
Mainland Central,Harmful algal blooms (HABs),2022,,,
Mainland Far North,Harmful algal blooms (HABs),2011,,,
Mainland Far North,Harmful algal blooms (HABs),2012,,,
Mainland Far North,Harmful algal blooms (HABs),2013,,,
Mainland Far North,Harmful algal blooms (HABs),2014,,,
Mainland Far North,Harmful algal blooms (HABs),2016,,,
Mainland Far North,Harmful algal blooms (HABs),2017,,,
Mainland Far North,Harmful algal blooms (HABs),2018,,,
Mainland Far North,Harmful algal blooms (HABs),2020,,,
Mainland Far North,Harmful algal blooms (HABs),2021,,,
Mainland Far North,Harmful algal blooms (HABs),2022,,,
Vancouver Island Southwest Central,Harmful algal blooms (HABs),2013,,,
Vancouver Island Southwest Central,Harmful algal blooms (HABs),2014,,,
Mainland South Central,Harmful algal blooms (HABs),2012,,,
Mainland South Central,Harmful algal blooms (HABs),2013,,,
Mainland South Central,Harmful algal blooms (HABs),2016,,,
Mainland South Central,Harmful algal blooms (HABs),2019,,,
Mainland South Central,Harmful algal blooms (HABs),2022,,,
Vancouver Island Northwest Central,Harmful algal blooms (HABs),2012,,,
Vancouver Island Northwest Central,Harmful algal blooms (HABs),2013,,,
Vancouver Island Northwest Central,Harmful algal blooms (HABs),2015,,,
Vancouver Island Northwest Central,Harmful algal blooms (HABs),2017,,,
Vancouver Island Northwest Central,Harmful algal blooms (HABs),2019,,,
Vancouver Island Northwest Central,Harmful algal blooms (HABs),2021,,,
Vancouver Island Northwest Central,Harmful algal blooms (HABs),2022,,,
Vancouver Island West Central,Harmful algal blooms (HABs),2013,,,
Vancouver Island West Central,Harmful algal blooms (HABs),2014,,,
Vancouver Island West Central,Harmful algal blooms (HABs),2015,,,
Vancouver Island West Central,Harmful algal blooms (HABs),2016,,,
Vancouver Island West Central,Harmful algal blooms (HABs),2017,,,
Vancouver Island West Central,Harmful algal blooms (HABs),2022,,,
Mainland North Central,Harmful algal blooms (HABs),2011,,,
Mainland North Central,Harmful algal blooms (HABs),2012,,,
Mainland North Central,Harmful algal blooms (HABs),2013,,,
Mainland North Central,Harmful algal blooms (HABs),2016,,,
Mainland North Central,Harmful algal blooms (HABs),2017,,,
Mainland North Central,Harmful algal blooms (HABs),2018,,,
Mainland North Central,Harmful algal blooms (HABs),2019,,,
Mainland North Central,Harmful algal blooms (HABs),2020,,,
Mainland North Central,Harmful algal blooms (HABs),2021,,,
Mainland North Central,Harmful algal blooms (HABs),2022,,,
Vancouver Island Northwest,Harmful algal blooms (HABs),2011,,,
Vancouver Island Northwest,Harmful algal blooms (HABs),2013,,,
Vancouver Island Northwest,Harmful algal blooms (HABs),2014,,,
Vancouver Island Northwest,Harmful algal blooms (HABs),2015,,,
Vancouver Island Northwest,Harmful algal blooms (HABs),2016,,,
Vancouver Island Northwest,Harmful algal blooms (HABs),2017,,,
Vancouver Island Northwest,Harmful algal blooms (HABs),2019,,,
Vancouver Island Northwest,Harmful algal blooms (HABs),2020,,,
Vancouver Island Northwest,Harmful algal blooms (HABs),2022,,,
Mainland Far South,Harmful algal blooms (HABs),2011,,,
Mainland Far South,Harmful algal blooms (HABs),2012,,,
Mainland Far South,Harmful algal blooms (HABs),2013,,,
Mainland Far South,Harmful algal blooms (HABs),2014,,,
Mainland Far South,Harmful algal blooms (HABs),2015,,,
Mainland Far South,Harmful algal blooms (HABs),2017,,,
Mainland Central,Harmful algal blooms (HABs),2012,0.67568,0.01711,3.76462
