mort_date,year,month,month_numerical,site_id,latitude,longitude,mort_action,mort_contributing,mort_comments,company,site,zone,species,mort_cause,mortality_events,mot_control,algalbloom,ag_control,low_do,ldocontrol,treatment,treatment_control,date,year class
6/21/2011,2011,June,6,137,50.180569,-125.14933,Carcass Removal,n/a,n/a,MOWI Canada West,Conville Bay,Discovery Islands,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,6/2/2011,1
6/27/2011,2011,June,6,1825,50.60799,-126.36301,Carcass Removal,n/a,n/a,Grieg Seafood BC,Noo-la,Broughton Archipelago,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,6/13/2011,2
6/30/2011,2011,June,6,553,50.469749,-125.26153,Carcass Removal,n/a,n/a,MOWI Canada West,Frederick Arm,Discovery Islands,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,6/2/2011,1
6/30/2011,2011,June,6,1164,50.48576,-125.27429,Carcass Removal,n/a,n/a,MOWI Canada West,Far Side,Discovery Islands,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,40696,1
6/30/2011,2011,June,6,1401,50.286129,-125.34917,Carcass Removal,n/a,n/a,Cermaq Canada,Brent Island,Discovery Islands,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,n/a,2
7/4/2011,2011,July,7,388,50.371922,-125.3799,Carcass Removal,n/a,n/a,MOWI Canada West,Brougham Point,Discovery Islands,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,7/13/2011,1
9/9/2011,2011,September,9,526,49.256699,-125.84153,Carcass Removal,n/a,n/a,Cermaq Canada,Rant Point,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,9/3/2011,1
9/12/2011,2011,September,9,1079,49.886799,-126.7911,Carcass Removal,n/a,n/a,Grieg Seafood BC,Steamer,Esperanza Inlet,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,n/a,2
9/13/2011,2011,September,9,1144,50.796902,-126.49581,Carcass Removal,n/a,n/a,Cermaq Canada,Burdwood,Broughton Archipelago,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,40806,2
9/15/2011,2011,September,9,1738,49.656029,-126.45404,Carcass Removal,n/a,n/a,Grieg Seafood BC,Atrevida,Nootka Sound,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,9/3/2011,2
