Time code,Event,Year,Month,Incidence
1,Total mortality events (MEs),2011,June,7.8125
2,Total mortality events (MEs),2011,July,1.538461538
3,Total mortality events (MEs),2011,August,0
4,Total mortality events (MEs),2011,September,10.34482759
5,Total mortality events (MEs),2011,October,0
6,Total mortality events (MEs),2011,November,0
7,Total mortality events (MEs),2011,December,0
8,Total mortality events (MEs),2012,January,0
9,Total mortality events (MEs),2012,February,0
10,Total mortality events (MEs),2012,March,3.703703704
11,Total mortality events (MEs),2012,April,0
12,Total mortality events (MEs),2012,May,1.886792453
13,Total mortality events (MEs),2012,June,2
14,Total mortality events (MEs),2012,July,0
15,Total mortality events (MEs),2012,August,15.90909091
16,Total mortality events (MEs),2012,September,4.761904762
17,Total mortality events (MEs),2012,October,9.523809524
18,Total mortality events (MEs),2012,November,0
19,Total mortality events (MEs),2012,December,0
20,Total mortality events (MEs),2013,January,0
21,Total mortality events (MEs),2013,February,2.222222222
22,Total mortality events (MEs),2013,March,2.173913043
23,Total mortality events (MEs),2013,April,2.272727273
24,Total mortality events (MEs),2013,May,2.222222222
25,Total mortality events (MEs),2013,June,0
26,Total mortality events (MEs),2013,July,0
27,Total mortality events (MEs),2013,August,0
28,Total mortality events (MEs),2013,September,5.405405405
29,Total mortality events (MEs),2013,October,0
30,Total mortality events (MEs),2013,November,0
31,Total mortality events (MEs),2013,December,2.127659574
32,Total mortality events (MEs),2014,January,0
33,Total mortality events (MEs),2014,February,0
34,Total mortality events (MEs),2014,March,0
35,Total mortality events (MEs),2014,April,0
36,Total mortality events (MEs),2014,May,0
37,Total mortality events (MEs),2014,June,13.20754717
38,Total mortality events (MEs),2014,July,3.846153846
39,Total mortality events (MEs),2014,August,3.921568627
40,Total mortality events (MEs),2014,September,16
41,Total mortality events (MEs),2014,October,3.921568627
42,Total mortality events (MEs),2014,November,0
43,Total mortality events (MEs),2014,December,0
44,Total mortality events (MEs),2015,January,0
45,Total mortality events (MEs),2015,February,0
46,Total mortality events (MEs),2015,March,1.666666667
47,Total mortality events (MEs),2015,April,3.174603175
48,Total mortality events (MEs),2015,May,1.612903226
49,Total mortality events (MEs),2015,June,9.836065574
50,Total mortality events (MEs),2015,July,18.18181818
51,Total mortality events (MEs),2015,August,7.692307692
52,Total mortality events (MEs),2015,September,1.851851852
53,Total mortality events (MEs),2015,October,1.724137931
54,Total mortality events (MEs),2015,November,0
55,Total mortality events (MEs),2015,December,0
56,Total mortality events (MEs),2016,January,1.818181818
57,Total mortality events (MEs),2016,February,1.851851852
58,Total mortality events (MEs),2016,March,1.851851852
59,Total mortality events (MEs),2016,April,3.636363636
60,Total mortality events (MEs),2016,May,8.771929825
61,Total mortality events (MEs),2016,June,11.32075472
62,Total mortality events (MEs),2016,July,7.843137255
63,Total mortality events (MEs),2016,August,12
64,Total mortality events (MEs),2016,September,7.843137255
65,Total mortality events (MEs),2016,October,7.692307692
66,Total mortality events (MEs),2016,November,0
67,Total mortality events (MEs),2016,December,0
68,Total mortality events (MEs),2017,January,0
69,Total mortality events (MEs),2017,February,0
70,Total mortality events (MEs),2017,March,5.769230769
71,Total mortality events (MEs),2017,April,3.571428571
72,Total mortality events (MEs),2017,May,5.357142857
73,Total mortality events (MEs),2017,June,0
74,Total mortality events (MEs),2017,July,4
75,Total mortality events (MEs),2017,August,18.75
76,Total mortality events (MEs),2017,September,25.53191489
77,Total mortality events (MEs),2017,October,5.555555556
78,Total mortality events (MEs),2017,November,8.928571429
79,Total mortality events (MEs),2017,December,5.454545455
80,Total mortality events (MEs),2018,January,1.886792453
81,Total mortality events (MEs),2018,February,1.851851852
82,Total mortality events (MEs),2018,March,13.20754717
83,Total mortality events (MEs),2018,April,7.01754386
84,Total mortality events (MEs),2018,May,10.34482759
85,Total mortality events (MEs),2018,June,22.80701754
86,Total mortality events (MEs),2018,July,24.52830189
87,Total mortality events (MEs),2018,August,36.17021277
88,Total mortality events (MEs),2018,September,8.163265306
89,Total mortality events (MEs),2018,October,15.38461538
90,Total mortality events (MEs),2018,November,3.921568627
